,precision,recall,f1-score,support
related,0.75,1.0,0.8571428571428571,15.0
request,0.7,0.7,0.7,10.0
offer,0.0,0.0,0.0,0.0
aid_related,0.6875,0.9166666666666666,0.7857142857142857,12.0
medical_help,0.0,0.0,0.0,2.0
medical_products,0.0,0.0,0.0,1.0
search_and_rescue,0.0,0.0,0.0,0.0
security,0.0,0.0,0.0,0.0
military,0.0,0.0,0.0,0.0
child_alone,0.0,0.0,0.0,0.0
water,1.0,0.5,0.6666666666666666,6.0
food,0.0,0.0,0.0,8.0
shelter,0.0,0.0,0.0,2.0
clothing,0.0,0.0,0.0,1.0
money,0.0,0.0,0.0,1.0
missing_people,0.0,0.0,0.0,0.0
refugees,0.0,0.0,0.0,0.0
death,0.0,0.0,0.0,0.0
other_aid,0.0,0.0,0.0,3.0
infrastructure_related,0.0,0.0,0.0,1.0
transport,0.0,0.0,0.0,0.0
buildings,0.0,0.0,0.0,0.0
electricity,0.0,0.0,0.0,0.0
tools,0.0,0.0,0.0,0.0
hospitals,0.0,0.0,0.0,0.0
shops,0.0,0.0,0.0,0.0
aid_centers,0.0,0.0,0.0,0.0
other_infrastructure,0.0,0.0,0.0,1.0
weather_related,0.0,0.0,0.0,1.0
floods,0.0,0.0,0.0,0.0
storm,0.0,0.0,0.0,0.0
fire,0.0,0.0,0.0,0.0
earthquake,0.0,0.0,0.0,0.0
cold,0.0,0.0,0.0,0.0
other_weather,0.0,0.0,0.0,1.0
direct_report,0.625,0.5,0.5555555555555556,10.0
micro avg,0.7192982456140351,0.5466666666666666,0.6212121212121212,75.0
macro avg,0.10451388888888889,0.10046296296296295,0.09902998236331569,75.0
weighted avg,0.5166666666666667,0.5466666666666666,0.517883597883598,75.0
samples avg,0.6675,0.4726190476190476,0.5020779220779221,75.0
